Name,Category,Demo URL,Accessible,Gated,Total Steps,Steps Captured,Classification Type,Overall Score,Logic Score,Emotion Score,Credibility Score,Narrative Flow Score,Copy Quality Score,Summary,Strengths,Weaknesses,Narrative Arc,Persona Targeting,Proof Elements,Recommendation,Error
Clari,,https://app.storylane.io/demo/x5n3m0pk2zi2,True,False,14,14,Needs Improvement — Feature Dump (Weak Logic),4,3,3,2,3,4,"Clari's demo showcases 11+ features across dashboards, forecasting, deal management, and sales engagement, but lacks a coherent narrative thread connecting them to a single outcome. While the opening promise is 'predictable revenue growth,' the demo rapidly feature-jumps without explaining how each capability builds toward that goal or addressing specific persona needs.","Clear opening hook: 'Will you meet, beat, or miss your revenue objectives?'; Logical feature grouping (e.g., visibility → forecasting → deal management → engagement); Consistent brand voice and professional tone throughout; Acknowledges multiple revenue models (subscription, consumption, NDR) showing product depth; Closing CTA ('Schedule a Demo') provides next step","Feature dump: 11 distinct features shown without a connecting red thread; No persona targeting—same narrative regardless of whether viewer is CFO, VP Sales, or rep; Zero credibility proof—no numbers, customer logos, before/after comparisons, or specific metrics; Generic benefit language: 'aligned,' 'confident,' 'informed decisions,' 'nothing slips through the cracks'; No problem-solution-outcome arc—features are listed rather than sequenced to solve a specific pain point; Missing emotional resonance—doesn't speak to role-specific fears (quota miss, visibility gap, deal slippage); Steps 8–12 feel rushed and interchangeable without clear prioritization; No evidence that these features actually deliver the 'predictable path to growth' promised in step 1","Opening: 'Meet, beat, or miss revenue targets' → Middle: Rapid progression through visibility (dashboard, real-time insights, pipeline drill-down), consolidation (forecasting, multi-org alignment), deal management (Smart Summaries, engagement, CRM updates), and rep enablement (battlecards, follow-ups, MAPs) → Closing: 'Run Revenue with Clari + CTA.' The middle lacks connective tissue—each feature feels like an item on a product list rather than a step toward solving the opening tension.","None. The demo uses generic 'your team,' 'your business,' and organizational language that could apply to any buyer. No branching by role (CFO/revenue ops vs. VP Sales vs. rep). No acknowledgment of different stakeholder priorities or success metrics.","None. No specific metrics, customer logos, testimonials, before/after data, or realistic use cases. All claims are aspirational ('AI-driven,' 'unified visibility,' 'confident decision-making') without supporting evidence.","Restructure the demo around a single persona's revenue challenge: Choose one buyer (e.g., VP Sales missing forecast accuracy). Open with their specific problem (e.g., 'Pipeline visibility is fragmented across CRM instances—you can't forecast confidently'). Then sequence 4–5 features as steps to solve it (unified forecasting → pipeline inspection → risk detection → team action → verified outcome). Close with a specific metric or customer proof (e.g., 'Customers improve forecast accuracy by 23%' or 'Closed 3 deals faster using Smart Deal Summaries'). This moves from feature dump to outcome-driven story.",
Sprout Social,,https://demo.sproutsocial.com/demo/smsq7u6lqvvl?embed=inline&embedStorylane=true,True,False,17,17,Needs Improvement — Feature Dump (Weak Logic),5,4,5,6,4,5,"The demo spans 17 steps covering two main product areas: Analytics/Reports and Publishing/Collaboration. While it includes some credibility markers (G2 rating, IDC leader status, processing 1B+ daily messages), the narrative lacks a clear through-line connecting features to a single outcome. Features are presented sequentially without explaining how they work together to solve a specific problem.","Opens with credibility markers (G2 #1, IDC leader, 1B+ daily messages processed); Attempts to cluster features into two logical buckets (Analytics and Publishing); Includes some outcome-oriented language ('prove ROI', 'align social performance with business goals', 'drive more impact'); Copy acknowledges practical pain points (building reports from scratch, collaboration friction, approval workflows); Mentions no-login-required sharing, which addresses a real user need","17 steps is too long and feels like a feature tour rather than a guided story; No clear problem statement—doesn't articulate why someone should care before showing features; Features are listed sequentially without explaining how they combine to create a single outcome; Generic language like 'deeper insights', 'track progress', 'optimize'—vague rather than specific; No persona targeting—doesn't distinguish between social manager, director, executive, or other roles; No proof of customer impact beyond logos/ratings (no case study, metric improvements, or before/after); Weak connective tissue between Analytics and Publishing sections—why are these shown together?; Copy is functional but lacks emotion—doesn't acknowledge specific stakeholder pain or success metrics; Steps 7-10 and 13-16 feel repetitive (drilling into sub-features without clear value added)","Opening hook: 'Easily drive more impact from social media' + credibility (G2, IDC). Journey: Rapid tour of Analytics (reports, metrics, customization, filtering) then Publishing (calendars, collaboration, workflows). Closing: Implied but weak—no summary of how these features work together to achieve the opening promise. The story lacks tension, resolution, and emotional resonance.","None. The demo uses one-size-fits-all language with no role selection or branching. Sprout Social serves multiple personas (social managers, directors, executives, marketers, creative teams), but the demo doesn't differentiate value by role. A social manager cares about speed and collaboration; an executive cares about ROI and alignment with business goals. The demo tries to speak to everyone and thus speaks to no one effectively.","['G2 rating (#1 best software)', 'IDC leader status', 'Processes 1B+ daily messages (scale/trust signal)', '20+ available reports (breadth of functionality)']","Restructure the demo around a single persona and outcome. Choose one: either 'Help a social manager move faster with collaborative publishing' or 'Help an executive prove social ROI with better analytics.' Cut to 8-10 steps max. Open with a specific problem (e.g., 'Our team spends 5 hours building reports each week' or 'Approval workflows are slowing our content calendar'), show 3-4 features that directly solve it, and close with a before/after metric or customer quote. Remove feature sub-drills (e.g., steps 7-10 on report customization) unless they're critical to the core outcome.",
Dow Jones,,https://app.storylane.io/demo/r6xujyjqdvg3?embed=inline,True,False,1,1,Click-Through / Minimal Guidance,2,1,1,1,1,1,"This demo consists of a single step with no tooltip text or guidance provided. There is no narrative structure, no feature explanation, no value proposition articulated, and no evidence of any storytelling framework.",Extremely minimal — no clutter or feature overload,"No storytelling whatsoever — completely empty tooltip; No Logic: Zero features explained or connected to any outcome; No Emotion: No persona targeting, no acknowledgment of user goals or pain points; No Credibility: No proof, data, numbers, or customer evidence; No narrative flow or guided experience; Fails to answer any of the three core storytelling questions; Single step with no guidance makes this essentially non-functional as a demo","There is no narrative arc. The demo does not open, develop, or close. It is a placeholder with zero content.",None. There is no indication of a target role or persona.,None present.,"Start from scratch. Define a single clear outcome (e.g., 'Empower financial professionals to identify breaking market opportunities 3x faster'). Identify one primary persona (e.g., equity analyst, portfolio manager). Then map 5-8 key features that ladder up to that outcome, with specific proof points (numbers, customer logos, before/after metrics). Build the tooltip copy to guide users through a problem → solution → value journey specific to that role.",
SentinelOne,,https://sentinelone.storylane.io/demo/gnxvjvsbk7wi?scale=true,True,False,20,20,Needs Improvement — Feature Dump (Weak Logic),5,4,3,6,4,5,"The demo showcases SentinelOne's Offensive Security Engine and Secret Scanning capabilities by walking through finding and verifying exploit paths in cloud infrastructure. While it includes concrete evidence (simulated attacks, actual credentials, curl commands), the narrative jumps between features without a clear connecting thread, and there's no persona-specific messaging or acknowledgment of who should care most about this value.","Strong credibility elements: Shows real simulated attack evidence (curl commands, actual credentials extracted, RCE proof); Concrete proof methodology: Demonstrates how vulnerabilities are verified through safe attack simulation; Clear evidence visualization: Graph view and multi-angle exploration (public exposures, exploits, misconfigurations); Specific technical depth: Names exact attack vectors (SSRF, GeoJSON API, metadata services URI paths); Logical information hierarchy: Starts with critical issues, filters by severity, then explores in detail","Feature dump structure: Transitions from Offensive Security Engine → Secret Scanning (step 19) feel disconnected; no unified outcome; Weak emotional targeting: No mention of who should care (CISO? DevOps? Security ops?), no role-specific language; Generic value statements: 'This is really powerful' and 'helps you know with certainty' lack specificity; No business impact quantified: Steps 5 and 19 mention 'business Impact' and '750+ secret types' but don't quantify consequences or improvements; Abrupt feature introduction: Secret Scanning (step 19) feels tacked on with no connection to prior exploit path narrative; Missing red thread: Features don't clearly ladder to a single long-term outcome (Is it 'reduce risk'? 'Speed remediation'? 'Prove exploitability'?); No customer proof or benchmarks: No logos, metrics, or before/after comparisons","Opening hook (step 1): 'Verified Exploit Paths' promise. Middle journey (steps 2-18): Walk through finding critical exploits, viewing evidence, visualizing paths, exploring misconfigurations. Closing (step 19): Abrupt pivot to Secret Scanning with minimal transition. The arc breaks down because Secret Scanning feels like a second feature demo rather than a continuation of the core story.","Completely generic. No persona selected or mentioned. Language is broad enough for any security role but specific enough for none. Missing opportunities to address: 'As a CISO, you need to prove exploitability to executives' or 'As a DevOps engineer, you need to know what to patch first.' Same narrative applies to all.","['Simulated attack execution showing RCE is possible (step 7)', 'Actual curl command demonstrating SSRF exploitation (step 11)', 'Real credentials extracted via metadata services (step 11)', 'Visual graph of exploit paths (steps 12-13)', 'Multi-factor evidence: public exposures + exploits + misconfigurations (steps 14-18)', ""Quantified secret detection: '750+ types of secrets' (step 19)""]","Restructure the demo around a single persona and outcome. Example: 'As a Cloud Security Lead, reduce mean-time-to-remediation by prioritizing verified exploits over false positives.' Then show: (1) How Offensive Security Engine prioritizes exploits with proof of exploitability, (2) How Secret Scanning prevents credential exposure in the same stack, (3) Business impact (e.g., '3x faster remediation vs. static SAST'). This unifies both features under one value promise and makes the narrative coherent. Add one customer metric at the end (e.g., 'Acme Corp reduced findings by 60% in 30 days') to strengthen credibility.",
Pearson,,https://app.storylane.io/demo/xh7puyoz0x5y?embed=inline,True,False,1,1,Click-Through / Minimal Guidance,2,1,1,1,1,1,"This demo consists of a single step with no tooltip text or guidance provided. There is no narrative structure, no feature explanation, no value proposition articulated, and no credibility evidence presented.",The demo loads and is accessible (no gating),"Missing tooltip text entirely — no guidance or storytelling at all; Single step with no narrative arc or progression; No features are explained or connected to outcomes; No persona targeting or role-specific messaging; No credibility proof, evidence, or metrics provided; No clear value proposition communicated; Feels like an incomplete or broken demo experience","No narrative arc exists. There is no opening hook, no middle journey, and no closing value statement.","Not targeted to any specific persona. No acknowledgement of role, goals, or success metrics.",None. No credibility elements are present.,"Rebuild this demo from scratch with a clear narrative. Start by defining: (1) What single outcome does Pearson's product create? (2) Who is the target persona watching this? (3) What proof can you show? Then structure 5-10 steps that guide the viewer through a problem, show how the product solves it, and close with specific evidence of value. Add meaningful tooltip text to each step that connects features to the outcome.",
CyberArk,,https://app.storylane.io/demo/fwa3jg16xql3,True,False,24,24,Strong Storytelling Demo,8,8,7,8,8,8,"This demo tells a cohesive story about moving from detecting standing privileges to eliminating them through CyberArk and Wiz integration. It follows a clear problem → detection → remediation → validation arc, showing how excessive cloud access is identified, flagged, secured through policy application, and then verified in real-world use.","Clear problem statement upfront: 'detect standing privileges and move to zero standing privileges'; Strong narrative arc with clear stages: Identify → Risk Alert → Remediate → Validate → Success; Specific technical details (e.g., 'Data Scientist role', 'AWS Identity Center', 'BD Tech group') ground the story in reality; Concrete proof elements: Shows actual risk identification, policy creation, session controls (session control ✅, session monitoring ✅, session protection ✅), and permission verification; Features logically ladder to one outcome: each step connects to reducing standing privileges; Strong copy quality with emojis and excitement markers (🚨, ✨, ⚡, ✅, 🔒, 🎉) that guide emotional engagement; Before/after comparison: Shows the risk state, then the secured state with specific permission restrictions; Realistic scenario: includes MFA mention, permission set details, and realistic access constraints","Some steps have no tooltip text (steps 5, 6, 12, 24), creating minor gaps in guidance; Emotion score slightly lower because messaging is generic 'cloud teams' rather than explicitly persona-targeted (though the technical depth implies security/identity teams); Could be more explicit about which persona cares (Security Engineer? Cloud Architect? Identity Admin?); No customer logos, testimonials, or external validation mentioned—all proof is from the product itself; Doesn't quantify impact (e.g., 'reduce access risk by X%', 'remediation time cut from X to Y')",**Opening Hook**: 'Explore how to detect standing privileges and move to zero standing privileges.' **Middle Journey**: Identifies excessive privileges in Wiz → flags risk → sends to CyberArk → applies access controls → user authenticates with MFA → connects to secure role → validates restricted permissions. **Closing**: Celebrates successful policy creation and frames outcome as 'identity security at the scale and speed of your cloud development.',"Implicitly targeted to Cloud Security Engineers / Identity & Access Management teams. Copy references technical concepts (permission sets, AWS Identity Center, multi-factor authentication, session controls) and security-specific outcomes (zero standing privileges, access policies), but doesn't explicitly address the persona by name or role-specific pain point.","['Real risk detection: Shows specific user accounts/groups flagged with excessive privileges', 'Technical validation: Session control ✅, session monitoring ✅, session protection ✅ checkmarks', 'Behavioral proof: Logs in as test user, demonstrates MFA requirement, shows restricted permissions (no access to AWS Health/Cost data)', 'Integration proof: Shows policy successfully created in Wiz platform after CyberArk action', 'Realistic constraint: Verifies that role is dynamically provisioned/deprovisioned upon connection']","Add explicit persona targeting and quantified impact. Modify Step 1 to say: 'In this tour, we show Security Engineers and Cloud Architects how to reduce standing privileges from [X%] to near-zero in multi-cloud environments using CyberArk and Wiz—cutting remediation time from days to minutes.' This anchors the story to a specific role's success metric and adds credibility through specificity.",
Huntress,,https://tour.huntress.com/demo/emj3ig0ckzno?embed=inline,True,False,2,2,Click-Through / Minimal Guidance,2,1,2,1,1,3,"This is a self-guided exploration demo with minimal narrative structure. Step 1 provides a welcome message and explains clickable elements, while Step 2 appears to be either empty or missing tooltip text. There is no clear problem statement, outcome promise, or storytelling arc.",Clear explanation of interactive mechanics (blue = clickable); Acknowledges that examples are included (incident and remediation); Positions Huntress Managed SIEM as novel/early-access,"No clear problem or value proposition stated upfront; No persona targeting or role-specific messaging; Step 2 tooltip is completely empty or missing; No specific proof, metrics, customer evidence, or credibility elements; Minimal copy guidance — feels more like a navigation prompt than a story; No features connected to a single outcome; Generic language ('real-world incident') without specificity; No narrative arc: problem → solution → value; Relies entirely on self-guided exploration rather than guided storytelling","Opening: Generic welcome with navigation instructions. Middle: Implied exploration of detection, reporting, and incident/remediation examples. Closing: None — the story ends with the call to action to explore.","None. The demo is entirely generic. Uses 'you' broadly without distinguishing between IT ops, security teams, CISOs, or other roles. No acknowledgement of different stakeholder concerns.","None present. No customer logos, testimonials, metrics, before/after data, or specific performance claims. 'Real-world incident' is mentioned but not substantiated.","Rewrite the opening to include a clear hook that answers: 'What problem does Huntress solve?' and 'Why should I care?' Example: 'Huntress detects threats that slip past your firewall. See how [ROLE] found a breach in minutes, not days.' Then structure the clickable elements as a guided path (not free exploration) that builds from threat detection → investigation → remediation, with at least one real metric or customer proof point embedded.",
Outreach,,https://demo.outreach.io/demo/xcoxotjhrinf,True,False,16,16,Needs Improvement — Feature Dump (Weak Logic),4,3,3,2,4,4,"Outreach's demo walks through 16 features spanning account management, sequencing, task prioritization, call coaching, and manager analytics. While each feature is described, they lack a connecting thread—the demo feels like a capability showcase rather than a cohesive story about solving a specific sales problem and driving measurable outcomes.","Opens with a clear intent statement: 'grow, organize, and manage their book of business & find every qualified opportunity'; Covers both seller and manager workflows, showing breadth of audience; Uses specific UI references (Smart View, Smart Account Plans, 360 View, Content Cards, Sentiment Analysis) which feel concrete; Logical sequence flow: account targeting → planning → prospecting → execution → coaching → analytics","16 steps is too long and dilutes impact—no feature clustering or prioritization; No specific numerical claims or evidence (no 'increase reply rates by X%', 'reduce time spent by Y%', etc.); Generic language throughout: 'help teams grow', 'maximize reply rates', 'increase success rate'—these are promises, not proofs; No customer logos, testimonials, or before/after comparisons; Persona messaging is split between sellers and managers (steps 1-10 vs 11-15) but neither path is deeply persona-targeted—uses generic stakeholder language; No acknowledgment of specific seller pain points (e.g., pipeline shortfall, low reply rates, manual data entry) or manager challenges (e.g., coaching at scale, identifying top performers); Missing a single, compelling outcome—instead lists many things the product does; Copy lacks specificity: 'Coach sellers to reach out to your highest value prospects' doesn't explain the concrete impact",Opening: 'Outreach helps teams grow and manage their book of business.' Middle: Feature march—account identification → planning → sequencing → task management → call coaching → meeting booking → manager reporting → sentiment analysis. Closing: None—demo ends abruptly with no summary of value or call to action. The arc lacks a problem hook and a payoff moment.,"Weakly targeted to two personas (seller and manager) but without differentiation. Sellers see prospecting features (steps 1-10), managers see reporting/coaching (steps 11-15). However, there's no role-specific messaging about their unique pain points, success metrics, or risks. Copy remains generic for both personas.","None. No numbers, no customer proof, no before/after comparisons, no testimonials, no logos. Descriptions are feature-focused and vague ('maximize reply rates', 'increase success rate', 'help you execute tasks efficiently').","Narrow the demo to 5-7 steps and anchor it to ONE measurable outcome: 'Increase qualified pipeline meetings by X% in Y weeks.' Cluster features under that outcome (e.g., Account Targeting + Sequencing = More Qualified Prospects; Task Prioritization + Call Coaching = Higher Close Rates; Manager Analytics = Better Coaching Decisions). Add one specific proof point—e.g., 'customers using Outreach's sequencing + sentiment analysis increase first-response rates by 34%' or a customer testimonial from a sales leader. Finish with a clear value summary tied back to the opening promise.",
Gong,,,False,False,0,0,inaccessible,,,,,,,,,,,,,,No demo iframe found on showcase page
Bitdefender,,,False,False,0,0,inaccessible,,,,,,,,,,,,,,No demo iframe found on showcase page
